id,name,location,longitude,latitude,gmaps,created_at,udated_at,website,twitter_handle
,Harvard University,"Cambridge, MA 02138",,,t,,,http://www.harvard.edu/,http://twitter.com/Harvard
,Columbia University in the City of New York,"New York, NY 10027",,,t,,,http://www.columbia.edu,http://twitter.com/Columbia
,Brown University,"Providence, RI 02912",,,t,,,http://www.brown.edu,http://twitter.com/BrownUniversity
